blue_ADC_champion	blue_Jungle_champion	blue_Middle_champion	blue_Support_champion	blue_Top_champion	red_ADC_champion	red_Jungle_champion	red_Middle_champion	red_Support_champion	red_Top_champion	blue_ban1	blue_ban2	blue_ban3	blue_ban4	blue_ban5	red_ban1	red_ban2	red_ban3	red_ban4	red_ban5	league	blue_win
Xayah	Sejuani	Orianna	Taric	Trundle	Kog'Maw	Jarvan IV	Taliyah	Rakan	Cho'gath	Lulu	Galio	Caitlyn	Rumble	Jayce	Kalista	Janna	Tristana	Singed	Shen	NALCS	0
Ashe	Graves	Taliyah	Thresh	Sejuani	Varus	Ivern	Orianna	Zyra	Jayce	Xayah	Zac	Lee Sin	Nidalee	Rengar	Galio	Syndra	Elise	Kennen	Fiora	LCK	0
Varus	Lee Sin	Taliyah	Zyra	Jarvan IV	Xayah	Gragas	Karma	Blitzcrank	Sejuani	Syndra	Galio	Ashe	Kennen	Graves	Zac	Elise	Thresh	Jayce	Fiora	LCK	0
Varus	Elise	Karma	Bard	Sejuani	Ashe	Lee Sin	LeBlanc	Lulu	Gragas	Zac	Jayce	Thresh	Singed	Fiora	Syndra	Kennen	Galio	Zyra	Blitzcrank	LCK	1
Ashe	Elise	Orianna	Zyra	Jarvan IV	Varus	Graves	Taliyah	Miss Fortune	Gragas	Kennen	LeBlanc	Syndra	Tahm Kench	Fiora	Karma	Zac	Lulu	Jayce	Zed	LCK	1
Xayah	Graves	Fizz	Lulu	Galio	Ashe	Lee Sin	Orianna	Thresh	Jarvan IV	Elise	Karma	Zyra	Fiora	Taliyah	Kennen	Zac	Syndra	LeBlanc	Rumble	LCK	0
Caitlyn	Lee Sin	Syndra	Tahm Kench	Shen	Draven	Olaf	Taliyah	Thresh	Fiora	Kennen	Elise	Zac	Varus	Kalista	Gragas	Jayce	Rumble	Gangplank	LeBlanc	LCK	1
Jhin	Olaf	Galio	Karma	Rumble	Varus	Graves	Orianna	Thresh	Gragas	Syndra	Tahm Kench	Lee Sin	Cassiopeia	Jayce	Kennen	Elise	Zac	Taliyah	LeBlanc	LCK	1
Twitch	Sejuani	Orianna	Blitzcrank	Gnar	Kalista	Gragas	Karthus	Morgana	Jarvan IV	Elise	Caitlyn	Thresh	Vladimir	Brand	Zac	Cassiopeia	Nunu	Tristana	Viktor	LCK	0
Ashe	Olaf	Galio	Karma	Rumble	Varus	Gragas	Syndra	Zyra	Camille	Taliyah	Elise	Zac	Graves	Kled	Lee Sin	Twitch	Kennen	Fizz	Ahri	LCK	0
